Position,Company,Location
Senior Research Analyst,NORC at the University of Chicago,"Chicago, IL"
Senior Research Analyst - Competitive Intelligence,Mintel Group,"Chicago, IL 60606"
Medical Tech / Lab Scientist Supervisor - Generalist,Simple Laboratories,"Chicago, IL 60646"
"MGS Physical Analysis Senior Scientist- Chicago, IL",Mars,"Chicago, IL 60611"
Senior Research Analyst,Market Track,"Chicago, IL 60606"
Senior Research Analyst,JLL,"Chicago, IL"
Data Engineer (Downtown),Jobspring Partners,"Chicago, IL"
Sr Research Analyst,UnitedHealth Group,"Chicago, IL 60290"
Technical Research Analyst - Cryptoassets,DRW Trading Group,"Chicago, IL"
Senior Data Engineer,Strike Social,"Chicago, IL 60601"
Lead Operations Research Scientist,XPO Logistics,"Chicago, IL 60601"
Logistics Analyst,Dyson,"Chicago, IL 60654"
"Business Analyst, I&A- Supply Chain",US Foods,"Chicago, IL"
Data Scientist Lead (Manager or Director Level position),Uptake,"Chicago, IL"
Cost Policy Compliance Analyst,BOEING,"Chicago, IL"
Embedded Analyst,The University of Chicago,"Chicago, IL"
Business Operations Analyst,Civis Analytics,"Chicago, IL"
Quantitative Model Analyst,U.S. Bank,"Chicago, IL"
Market Research Analyst,Kantar Millward Brown,"Chicago, IL"
Machine Learning Engineer,ServiceNow,"Chicago, IL"
Quantitative Analyst,Neuberger Berman,"Chicago, IL"
Lead Data Engineer,ThoughtWorks,"Chicago, IL 60601"
Research Analyst – Global Public Markets,DiMeo Schneider & Associates,"Chicago, IL 60661"
Senior Data Engineer (Chicago),QuantumBlack,"Chicago, IL"
"Scientist III, Chemistry, Mfg & Cntrl",Cardinal Health,"Chicago, IL"
Corporate Research Analyst,Grant Thornton,"Chicago, IL 60604"
Quantitative Analyst,BMO Financial Group,"Chicago, IL"
"Senior Manager, Machine Learning Data Scientist",Capital One,"Chicago, IL 60290"
Survey Research Analyst,American Dental Association,"Chicago, IL 60611"
Intermediate Research Analyst I,Aegon,"Chicago, IL"
Lead Data Engineer,Discover Financial Services,"Chicago, IL"
Staff Scientist/Geologist/Engineer,Weaver Consultants Group,"Chicago, IL 60601"
"Analyst - Cyber Solutions, New Ventures",McKinsey & Company,"Chicago, IL"
Analyst - GeoAnalytics,The Boston Consulting Group,"Chicago, IL 60654"
"Research Analyst, Demand Innovation",Nielsen,"Chicago, IL 60647"
Machine Learning/Hadoop Engineer,Incandescent Technologies,"Chicago, IL"
Developer / Quantitative Analyst,Global Computing - Mexico,"Chicago, IL"
Research Analyst - Health & Wellness Consumer Insights,Mintel Group,"Chicago, IL 60606"
Data Scientist,"Quadratic Systems, Inc.","Chicago, IL 60602"
Clinical Quality Research Analyst,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL"
Manager Research Analyst,Morningstar,"Chicago, IL"
A Safe Haven Foundation Research and Evaluation Jr. Analyst,AmeriCorps,"Chicago, IL"
Research Scientist - Pulmonary Medicine,Ann & Robert H. Lurie Children’s Hospital of Chicago,"Chicago, IL"
Quantitative Risk Management Analyst,Intercontinental Exchange,"Chicago, IL 60616"
Sr. Research Analyst-Infrastructure,Duff & Phelps Investment Management Company,"Chicago, IL 60606"
"Manager, Data Engineering (Big Data and Machine Learning)",Cars.com,"Chicago, IL"
Quantitative Analyst – Quality & Operations,Morningstar,"Chicago, IL"
"Lead Analyst,Data Management and Quantitative Analysis",BNY Mellon,"Chicago, IL"
Quantitative Analyst – Pricing Model – New York/Chicago,Quanteam,"Chicago, IL"
Quantitative Trading Analyst,Old Mission Capital,"Chicago, IL"
Quantitative Analyst,KCS Partners,"Chicago, IL"
Data Scientist,"Transworld Systems, Inc. (TSI)","Chicago, IL"
Data Scientist,Performics,"Chicago, IL"
Data Scientist,Outcome Health,"Chicago, IL"
Data Scientist Intern,Brookfield Asset Management,"Chicago, IL"
Data Scientist,The University of Chicago,"Chicago, IL"
Embedded Data Scientist,The University of Chicago,"Chicago, IL"
Data Scientist,Scienaptic Systems Inc,"Chicago, IL"
Data Scientist,Cars.com,"Chicago, IL"
Pricing & Promotions Data Scientist,Groupon,"Chicago, IL 60654"
Research Analyst,CMIC Group,"Chicago, IL"
"Field Applications Scientist, Microarray Bioinformatics - Midwest",Thermo Fisher Scientific,"Chicago, IL 60601"
Scientist (Contingent),Davis Defense Group,"Washington, DC"
Research Analyst I,IFPRI (International Food Policy Research Institute),"Washington, DC"
Research Analyst,American Council of Life Insurers,"Washington, DC 20001"
Data Scientist/Statistician II (Data Mapping),Ardent Eagle Solutions,"Washington, DC"
Research Analyst,"Lionshare Lending, LLC","Washington, DC"
"Senior Associate, Data Scientist",KPMG,"Washington, DC 20036"
Lead Data Scientist,American Institutes for Research,"Washington, DC"
Statistical Analyst,American Institutes for Research,"Washington, DC"
Staff Data Scientist,General Electric,"Washington, DC 20001"
Data Scientist / Sr. Data Scientist,Visa,"Washington, DC"
Data Scientist,Perspecta,"Washington, DC"
Senior Transportation Engineer -- CIVIL,"Precision Systems, Inc.","Washington, DC 20003"
Accenture Labs - Cyber Security Research & Development Programmer Senior Analyst,Accenture,"Washington, DC 20006"
Full Stack Engineer,CAVA - Technology,"Washington, DC"
Infrastructure Engineer,CAVA - Technology,"Washington, DC"
Sr. Vulnerability Management Engineer,Jacobs,"Washington, DC"
Staff Electrical Engineer,Burns & McDonnell,"Washington, DC 20044"
IT Cloud Engineer (Active Top Secret),Jacobs,"Washington, DC"
Data Scientist,Criterion Systems,"Washington, DC"
Senior Cyber Incident Response Engineer,Jacobs,"Washington, DC"
Public Health Security Surveillance Data Scientist,"The Cadmus Group, Inc.","Washington, DC"
Data Scientist,"The Cadmus Group, Inc.","Washington, DC"
Data Scientist/Data Lakes Analyst,raag solutions,"Washington, DC"
Data Scientist II,"Advanced Decision Vectors, LLC","Washington, DC 20230"
Software Engineer - Cloud Based (Active Top Secret),Jacobs,"Washington, DC"
"Data Scientist, Mid",Booz Allen Hamilton,"Washington, DC"
Data Scientist,"T. White Parker Associates, Incorporated","Washington, DC"
Data Scientist,Technica,"Washington, DC 20001"
Data Scientist,Advantage SCI,"Washington, DC"
Forensic Scientist II (Crime Scene) / Crime Scene Analyst,Government of the District of Columbia,"Washington, DC"
Data Scientist - Mid Level -Active Top Secret - HOT need,"VISUAL SOFT, INC","Washington, DC"
Data Scientist,Vanda Pharmaceuticals Inc.,"Washington, DC 20037"
Data Analyst / Data Scientist for Statistical Analysis,Teracore,"Washington, DC"
Lead Data Scientist,AFL-CIO,"Washington, DC 20006"
Data Scientist,US Agency for International Development,"Washington, DC"
Business Analyst - Junior level,HexaCorp,"Washington, DC"
Data Scientist,Grant Thornton,"Washington, DC 20036"
Data Scientist (DC),C3 IoT,"Washington, DC"
Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC"
Data Scientist/SAS Developer,"Onyx Government Services, LLC","Washington, DC"
Research & Data Analyst,"Handshake Partners, LLC","Washington, DC"
Data Scientist,"CGH Technologies, Inc.","Washington, DC 20024"
Data Scientist,Lexington Solutions Group,"Washington, DC 20032"
Data Scientist (TS/SCI Clearance),PCI Strategic Management,"Washington, DC"
Data Scientist,Coso IT,"Washington, DC"
"Applied Data Scientist, Enterprise",Improbable,"Washington, DC"
Health Scientist,Centers for Disease Control and Prevention,"Washington, DC"
Social Science Research Analyst,Department of Health And Human Services,"Washington, DC"
"Scientist, Enterprise & Data Analytics",Comcast,"Washington, DC 20005"
Acquisition Data Analyst,Booz Allen Hamilton,"Washington, DC"
Data Scientist (Analytical Methodologist),Planned Systems International,"Washington, DC"
Data Scientist – Experienced Associate,Guidehouse,"Washington, DC"
Statistical Data Analyst,Amyx Inc,"Washington, DC 20001"
"Managers, Statistical Analyst",Vanda Pharmaceuticals Inc.,"Washington, DC 20037"
Strategy and Research Data Scientist,FREEDOM CONSULTING GROUP,"Washington, DC"
Data Scientist (Must have active Top Secret),"OneGlobe, LLC","Washington, DC"
"Data Scientist, Senior",Booz Allen Hamilton,"Washington, DC"
Data Scientist- Clearance Required,"Akima, LLC","Washington, DC"
Research Analyst,Service Employees International Union,"Washington, DC 20036"
Sr. Statistical Data Analyst,ANALYTICA,"Washington, DC 20036"
Data Scientist - Human Services,Mathematica Policy Research,"Washington, DC 20024"
Physical Scientist,Department of Energy,"Washington, DC"
Data Scientist – Senior Associate,Guidehouse,"Washington, DC"
Data Scientist,Jacobs,"Washington, DC"
Data Scientist - TS/SCI Required,Talent Savant,"Washington, DC"
Senior Data Scientist,Harnham,"Washington, DC"
Sr. Data Scientist,HighPoint,"Washington, DC"
Research Analyst,Atlantic Media,"Washington, DC 20037"
Research Data Analyst,JLL,"Washington, DC"
Scientist - Multiple levels,Noblis,"Washington, DC"
Mid-Level Data Scientist - Senior Associate,Guidehouse,"Washington, DC"
Statistical Analyst,Walker Medical Solutions,"Washington, DC"
"Senior Applied Data Scientist, Government",Civis Analytics,"Washington, DC"
Jr. Research Analyst,National Geographic,"Washington, DC"
Data Engineer,Gallup,"Washington, DC"
Research Analyst,Bloomberg BNA,"Washington, DC 20229"
Data Scientist with Top Secret,OneGlobe,"Washington, DC"
Computer Scientist at NAS PAX River,SOLUTE,"Washington, DC"
Implementation Scientist,Atlas Research,"Washington, DC 20005"
Data and Policy Analyst - Statistical Programmer,Acumen LLC,"Washington, DC"
Operations Research Analyst,Advanced Sciences and Technologies (AS&T),"Washington, DC"
Junior Management Analyst,Missing Link Security,"Washington, DC 20003"
Business Analyst- Mid Level,TechnoGen Inc,"Washington, DC"
Research Analyst,Delmock Technologies Inc.,"Washington, DC 20002"
Research Analyst - Corporate Reputation Research,Ipsos North America,"Washington, DC"
Data Engineer,"GreenZone Solutions, Inc.","Washington, DC"
GIS Scientist,"The Cadmus Group, Inc.","Washington, DC"
"Director, Data Scientist",KPMG,"Washington, DC 20036"
Research Analyst,"LS Technologies, LLC","Washington, DC 20024"
Senior Statistical Analyst,Arch,"Washington, DC 20020"
"Behavioral Scientist (Seoul, Korea)",Celestar Corporation,"Washington, DC"
Earth Sciences Community Applications Support Scientist,ASRC Federal Holding Company,"Washington, DC 20024"
Research and Data Analyst,Association of American Medical Colleges,"Washington, DC 20037"
Technology Lead/Data Scientist,SkillDemand,"Washington, DC 20001"
Research Analyst/Associate,Center for the Study of Services,"Washington, DC"
"Manager, Data Scientist",KPMG,"Washington, DC 20036"
LNG Research Analyst,IHS Markit,"Washington, DC"
Data Scientist/Engineer (Active CBP BI/Clearance),Workbridge Associates,"Washington, DC"
International Research Analyst,Mathematica Policy Research,"Washington, DC 20024"
Research Analyst,Unisys,"Washington, DC 20036"
Research Analyst (Diversity),AccessLex Institute,"Washington, DC"
Market Research Analyst,Penn Schoen Berland,"Washington, DC"
Research Scientist,N C Q A,"Washington, DC"
"Data/Research Analyst, Senior Associate",Opportunity Finance Network,"Washington, DC 20005"
Research Analyst,Feeding America,"Washington, DC"
Research Analyst,FrameWorks Institute,"Washington, DC 20006"
IPA Assignment-Knowledge Management Consultant/Library Scientist,PARTNERSHIP for PUBLIC SERVICE,"Washington, DC 20005"
Research Analyst (Justice Policy Center),The Urban Institute,"Washington, DC 20037"
Online Content Research & Policy Analyst,Federation for American Immigration Reform (Fair),"Washington, DC"
Operational Research Analyst - Data Collection ADO,Leidos,"Washington, DC 20001"
ESG Research Analyst,Eaton Vance,"Washington, DC"
Research Analyst,Centra Technology,"Washington, DC"
Open Source Tradecraft Consultant/Analyst Liaison,Wittenberg Weiner Consulting LLC,"Washington, DC"
"Manager, Data Scientist (AI/NLP)",KPMG,"Washington, DC 20036"
R&D Scientist/Engineer,ARiA,"Washington, DC"
Research Analyst,LEWIS,"Washington, DC"
Research Analyst/Evaluator,"Advanced Decision Vectors, LLC","Washington, DC 20230"
Market Research Analyst (Corporate and Political),Benenson Strategy Group,"Washington, DC"
Intelligence Research Analyst,"Summit Technologies, Inc.","Washington, DC 20318"
Research Analyst III,Legal Services Corporation,"Washington, DC"
"Jr Operations Research Analyst, #3177",LinQuest Corporation,"Washington, DC 20301"
Senior Data Scientist - Manager,Guidehouse,"Washington, DC"
"Director, NLP Data Scientist",KPMG,"Washington, DC 20036"
Operations Research Analyst,Washington Metropolitan Area Transit Authority,"Washington, DC 20001"
Research Engineer/Scientist,Acima Spirits,"Washington, DC"
Data Engineer,Novetta,"Washington, DC"
Senior Research Analyst,Newmark Knight Frank,"Washington, DC"
"Senior Associate, Data Scientist (NLP/AI)",KPMG,"Washington, DC 20036"
Market Research Analyst - Analyst Development Program,Ipsos North America,"Washington, DC"
Data Scientist – Data Quality and Fraud Analytics,ERPi,"Washington, DC"
Ukrainian Research Analyst,Novetta,"Washington, DC"
Research Analyst I,The Catholic University of America,"Washington, DC"
Azerbaijani Research Analyst,Novetta,"Washington, DC"
Top Secret Clearnace - Engineer (Hardware / Software),GQR,"Washington, DC"
"Senior Programmer Analyst, Research",The Urban Institute,"Washington, DC 20037"
System Engineer,Jacobs,"Washington, DC"
SOC Analyst Tier II,Jacobs,"Washington, DC"
"Operations Research Analyst, Senior - Secret (SAF/AQH-Acquisition Career Mngmt)",OBXtek,"Washington, DC"
Transportation Engineer -- CIVIL,"Precision Systems, Inc.","Washington, DC 20003"
Security Engineer,Jacobs,"Washington, DC"
Autonomous System and Machine Learning Engineer,Centra Technology,"Washington, DC"
Product Compliance Scientist - USAMMDA - Active Secret Clearance Required,Patricio Enterprises,"Washington, DC"
Quantitative Analyst Model Validation,Ashton Lane Group,"Washington, DC"
"Software Engineer - Management Analyst II, (ID#12759)",Cherokee Nation Businesses,"Washington, DC"
"Operations Research Analyst, Senior",ManTech International Corporation,"Washington, DC"
Sr Financial/Statistical Methodologist Analyst AMRC,Leidos,"Washington, DC 20001"
Executive Operations Research Analyst-Must have Clearance,Steel Point Solutions,"Washington, DC"
AVP Quantitative Analyst Model Validation,Ashton Lane Group,"Washington, DC"
Senior Statistical Programming Analyst,Pragmatics,"Washington, DC"
Sr Principal Apps System Engineer - Data Science-90229496 - Washington,Amtrak,"Washington, DC 20002"
Forward Deployed Solution Engineer / Sales Engineer (Federal),C3 IoT,"Washington, DC"
Staff Mechanical Engineer - Mission Critical,Burns & McDonnell,"Washington, DC 20044"
Data Engineer,Will-N-Able,"Washington, DC 20001"
GIS Software Engineer - C# .Net (TS/SCI req'd),"BigBear, Inc.","Washington, DC"
Sr. Splunk Engineer,Jacobs,"Washington, DC"
Director Quantitative Analyst Model Validation,Ashton Lane Group,"Washington, DC"
Research Assistant (Statistical)/Survey Analyst,Z FEDERAL,"Washington, DC 20585"
Data Analyst / Systems Engineer,Belcan Government Services,"Washington, DC"
Senior IRT Analyst,Jacobs,"Washington, DC"
Senior Hadoop / Linux Engineer,CSRA,"Washington, DC"
"Senior Software Engineer, Web Applications",FiscalNote,"Washington, DC"
Operations Research Systems Analyst,Belcan Government Services,"Washington, DC"
Sr Operational Research Analyst - Performance Management Consulting - ADO,Leidos,"Washington, DC 20001"
Sr. Systems Analyst (Active Top Secret),Jacobs,"Washington, DC"
Research Analyst- Physics/Hazard,Institute for Defense Analyses,"Washington, DC"
"Market Research Senior Analyst, Federal Marketing Team",Penn Schoen Berland,"Washington, DC"
Quantitative Analytics & Model Development Analyst Sr,PNC Financial Services Group,"Washington, DC 20022"
Sr Research Analyst,CBRE,"Washington, DC"
Senior Quantitative Analyst,Fannie Mae,"Washington, DC 20022"
Data Integration Engineer,Jacobs,"Washington, DC"
Statistical Programming Analyst,Pragmatics,"Washington, DC"
Senior Operations Research Analyst,"Summit Technologies, Inc.","Washington, DC 20318"
Research Scientist,MedStar Health Research Institute,"Washington, DC"
"CPIC Business Case Support Analyst ( Washington, DC)",xentity corporation,"Washington, DC"
Senior Data Scientist,ERPi,"Washington, DC"
"Research Analyst II, Secretariat, Global Commission on Adaptation",World Resources Institute,"Washington, DC"
"Senior Analyst, U.S. Climate Policy",Environmental Defense Fund,"Washington, DC 20009"
Military and Policy Research Analyst,"Applied Research Associates, Inc","Washington, DC"
Statistical Engineer - Financial Services - Washington DC,Courtney Raymond Consultants,"Washington, DC"
Senior Research Analyst,Applied Memetics LLC,"Washington, DC"
Operational Research Analyst - Reporting ADO,Leidos,"Washington, DC 20001"
Operations Research Analyst,CMTC,"Washington, DC"
Sr. Data Infrastructure Engineer,Novetta,"Washington, DC"
Staff Environmental Scientist,Arcadis,"Washington, DC"
Operational Research Analyst - Performance Metrics ADO,Leidos,"Washington, DC 20001"
IT Policy & Research Analyst,Total Systems Technologies Corporation,"Washington, DC"
Senior Scientist - Chemical Biological Associate,Noblis,"Washington, DC"
Operational Research Analyst - Communications and Marketing ADO,Leidos,"Washington, DC 20001"
"Senior Analyst, Research & Evaluation",Links Global,"Washington, DC 20001"
Senior Analyst,Scientific Research Corporation,"Washington, DC 20376"
Engineer/Research & Development Analyst,CACI,"Washington, DC 20005"
"Web Analyst & Technical Editor, AARP Research",AARP,"Washington, DC 20001"
Technical Research Project Analyst,RAND Corporation,"Washington, DC"
Senior ESG Research Analyst,Eaton Vance,"Washington, DC"
